epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
95,6238.82,0.90239,0.89898,0.81588,0.69776,0.6279,0.68564,0.51602,0.79682,0.75085,0.81746,0.0081388,0.0081388,0.0081388
96,6304.21,0.91206,0.911,0.82492,0.70142,0.61476,0.68494,0.51657,0.79495,0.74705,0.81788,0.008119,0.008119,0.008119
97,6369.17,0.89922,0.91896,0.81915,0.71179,0.61605,0.68842,0.52196,0.79091,0.74275,0.81724,0.0080992,0.0080992,0.0080992
98,6434.38,0.91152,0.90125,0.82173,0.71881,0.61467,0.6884,0.52,0.79324,0.74272,0.81772,0.0080794,0.0080794,0.0080794
99,6500.14,0.90756,0.88407,0.81967,0.70104,0.63311,0.69029,0.5226,0.79645,0.73867,0.81861,0.0080596,0.0080596,0.0080596
100,6569.39,0.90319,0.90661,0.82063,0.68879,0.6306,0.68682,0.51921,0.7946,0.7372,0.81808,0.0080398,0.0080398,0.0080398
101,6634.45,0.90169,0.89483,0.81916,0.71449,0.61503,0.68942,0.52018,0.79571,0.73458,0.81756,0.00802,0.00802,0.00802
102,6699.38,0.88672,0.87174,0.81753,0.73068,0.61476,0.69552,0.52521,0.7944,0.73326,0.81802,0.0080002,0.0080002,0.0080002
103,6764.85,0.90004,0.87163,0.81634,0.73275,0.6296,0.69856,0.52732,0.79104,0.72891,0.81704,0.0079804,0.0079804,0.0079804
104,6829.95,0.89614,0.85952,0.81833,0.73483,0.63071,0.70074,0.52845,0.79112,0.72344,0.817,0.0079606,0.0079606,0.0079606
105,6895.35,0.89259,0.88416,0.81851,0.72574,0.62543,0.70073,0.52979,0.79245,0.72434,0.81695,0.0079408,0.0079408,0.0079408
106,6960.38,0.90009,0.87708,0.82026,0.72297,0.63288,0.70058,0.53042,0.79132,0.72394,0.81663,0.007921,0.007921,0.007921
107,7025.59,0.88412,0.86371,0.8162,0.71261,0.63202,0.70299,0.5326,0.79019,0.72112,0.81626,0.0079012,0.0079012,0.0079012
108,7090.71,0.90164,0.87395,0.81975,0.70814,0.64623,0.70373,0.53257,0.79011,0.71755,0.81732,0.0078814,0.0078814,0.0078814
109,7155.96,0.8826,0.85066,0.81828,0.72237,0.63255,0.70513,0.53376,0.788,0.7123,0.81668,0.0078616,0.0078616,0.0078616
110,7221.03,0.89238,0.87294,0.81729,0.72341,0.6314,0.70814,0.53663,0.78711,0.71106,0.81615,0.0078418,0.0078418,0.0078418
111,7286.41,0.89461,0.85936,0.81755,0.72258,0.64349,0.71132,0.53798,0.78527,0.70718,0.81567,0.007822,0.007822,0.007822
112,7351.43,0.89557,0.86619,0.81726,0.72575,0.64157,0.71189,0.5387,0.78519,0.70571,0.81615,0.0078022,0.0078022,0.0078022
113,7416.52,0.88508,0.85635,0.81856,0.71082,0.66111,0.71526,0.54078,0.78442,0.70457,0.81604,0.0077824,0.0077824,0.0077824
114,7481.75,0.88224,0.85167,0.81456,0.74937,0.63235,0.71558,0.54034,0.78261,0.70372,0.81574,0.0077626,0.0077626,0.0077626
115,7546.94,0.8933,0.85897,0.81691,0.75659,0.63326,0.71547,0.54061,0.78324,0.70495,0.81594,0.0077428,0.0077428,0.0077428
